event_id,customer_id,customer_name,city,failure_type,sub_reason,amount_inr,currency,failed_at,detected_at,contact_channel_pref,language_pref,prior_attempts,risk_score,phone_masked,do_not_disturb_hours,recoverability_score,urgency,failure_category,is_recoverable,action,channel_selected,reason_string,stopping_rule_triggered,recommended_delay_mins,script_template_key,tool_execution_status,tool_output_details,outcome_status,is_recovered,amount_recovered_inr,intervention_cost_inr,net_gain_inr,recovery_probability
evt_bc1b7,cust_b08,Aarav Shah,Hyderabad,failed_payment,insufficient_funds,2523.3,INR,2026-08-30T07:00:00Z,2026-08-31T10:00:00Z,sms,english,0,0.2,+91-XXXXX-13478,22:00-08:00 IST,0.81,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_SMS,sms,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.81.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Aarav Shah"", ""language"": ""english"", ""message_body"": ""Hi Aarav Shah, your payment of \u20b92,523.30 could not be processed. Retry instantly using your preferred payment mode: https://rzp.io/l/rec_evt_bc"", ""payment_link"": ""https://rzp.io/l/rec_evt_bc"", ""estimated_cost_inr"": 0.15}",RECOVERED_SUCCESS,True,2523.3,0.15,2523.15,0.288
evt_a817c,cust_10a1,Kiara Chopra,Hyderabad,subscription_lapse,card_expired,3069.14,INR,2026-08-31T08:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,0,0.15,+91-XXXXX-59797,22:00-08:00 IST,0.77,HIGH,RECOVERABLE_PAYMENT_METHOD,True,VOICE_CALL,voice,"Selected Voice Call due to high urgency (HIGH), transaction value (₹3,069.14), or explicit channel preference. Recoverability=0.77.",,30,voice_card_expired,LIVE_CALL_SCHEDULED,"{""status"": ""LIVE_CALL_SCHEDULED"", ""provider"": ""ElevenLabs_Groq_Engine"", ""agent_id"": ""agent_rzp_recovery_v1"", ""call_config"": {""voice_id"": ""r1KmysJdVYZjJCm4mL3b"", ""language"": ""hinglish"", ""agent_opening_line"": ""Namaste Kiara Chopra ji, main Razorpay Payment Support se Riya bol rahi hoon. Aapka Rs. 3,069.14 ka payment attempt clear nahi ho paya. Kya main aapki help kar sakti hoon?"", ""payment_link"": ""https://rzp.io/l/rec_evt_a8"", ""objection_strategy"": ""Dynamic Groq LLM + ElevenLabs TTS voice resolution for card_expired.""}, ""estimated_cost_inr"": 3.5}",RECOVERED_SUCCESS,True,3069.14,3.5,3065.64,0.66
evt_312c6,cust_1ae1,Pooja Verma,Pune,failed_payment,insufficient_funds,11081.11,INR,2026-08-25T16:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0,0.15,+91-XXXXX-35203,22:00-08:00 IST,0.82,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.82.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Pooja Verma"", ""language"": ""english"", ""message_body"": ""Hi Pooja Verma, your payment of \u20b911,081.11 could not be processed. Retry instantly using your preferred payment mode: https://rzp.io/l/rec_evt_31"", ""payment_link"": ""https://rzp.io/l/rec_evt_31"", ""estimated_cost_inr"": 0.5}",RECOVERED_SUCCESS,True,11081.11,0.5,11080.61,0.462
evt_ccc8d,cust_85b,Priya Malhotra,Pune,failed_payment,insufficient_funds,12902.11,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,1,0.11,+91-XXXXX-99593,22:00-08:00 IST,0.68,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.68.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Priya Malhotra"", ""language"": ""hinglish"", ""message_body"": ""Hi Priya Malhotra, aapka \u20b912,902.11 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_cc"", ""payment_link"": ""https://rzp.io/l/rec_evt_cc"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.351
evt_be4fa,cust_879,Diya Iyer,Jaipur,abandoned_checkout,genuine_abandonment,6406.6,INR,2026-08-26T11:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,1,0.61,+91-XXXXX-40021,22:00-08:00 IST,0.01,MEDIUM,IRRECOVERABLE_OR_REVOKED,False,NO_ACTION_STOP,none,"Execution halted by stopping rule: PERMANENT_DECLINE_OR_REVOKED_MANDATE. Recoverability=0.01, PriorAttempts=1, RiskScore=0.61.",PERMANENT_DECLINE_OR_REVOKED_MANDATE,0,none,SKIPPED_OR_STOPPED,"{""status"": ""SKIPPED_OR_STOPPED"", ""estimated_cost_inr"": 0.0}",UNRECOVERED_STOPPED,False,0.0,0.0,0.0,0.0
evt_eacba,cust_5f5,Ishaan Vera,Pune,failed_payment,insufficient_funds,3559.25,INR,2026-08-28T01:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,2,0.27,+91-XXXXX-80644,22:00-08:00 IST,0.5,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_WHATSAPP,whatsapp,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_WHATSAPP on preferred channel (whatsapp). Recoverability=0.5.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""whatsapp"", ""recipient_name"": ""Ishaan Vera"", ""language"": ""hinglish"", ""message_body"": ""Hi Ishaan Vera, aapka \u20b93,559.25 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_ea"", ""payment_link"": ""https://rzp.io/l/rec_evt_ea"", ""estimated_cost_inr"": 0.5}",FAILED_TO_RECOVER,False,0.0,0.5,-0.5,0.245
evt_5bad0,cust_1f53,Sai Vera,Chennai,failed_payment,insufficient_funds,14961.22,INR,2026-08-29T22:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0,0.09,+91-XXXXX-18326,22:00-08:00 IST,0.83,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_SMS,sms,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.83.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Sai Vera"", ""language"": ""hinglish"", ""message_body"": ""Hi Sai Vera, aapka \u20b914,961.22 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_5b"", ""payment_link"": ""https://rzp.io/l/rec_evt_5b"", ""estimated_cost_inr"": 0.15}",FAILED_TO_RECOVER,False,0.0,0.15,-0.15,0.293
evt_7aea1,cust_1c54,Diya Kumar,Jaipur,failed_payment,insufficient_funds,14580.64,INR,2026-08-31T07:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,2,0.31,+91-XXXXX-30730,22:00-08:00 IST,0.49,MEDIUM,RECOVERABLE_PAYMENT_METHOD,True,NUDGE_SMS,sms,Recoverable RECOVERABLE_PAYMENT_METHOD (insufficient_funds). Dispatching low-cost interactive NUDGE_SMS on preferred channel (sms). Recoverability=0.49.,,120,nudge_insufficient_funds,SENT,"{""status"": ""SENT"", ""channel"": ""sms"", ""recipient_name"": ""Diya Kumar"", ""language"": ""hinglish"", ""message_body"": ""Hi Diya Kumar, aapka \u20b914,580.64 ka payment attempt clear nahi ho paya. Click here to retry via UPI or Card: https://rzp.io/l/rec_evt_7a"", ""payment_link"": ""https://rzp.io/l/rec_evt_7a"", ""estimated_cost_inr"": 0.15}",FAILED_TO_RECOVER,False,0.0,0.15,-0.15,0.152
evt_8c913,cust_41d,Rahul Pillai,Delhi,abandoned_checkout,otp_abandon,22902.98,INR,2026-08-28T05:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0,0.45,+91-XXXXX-10074,22:00-08:00 IST,0.61,HIGH,CHECKOUT_ABANDONED,True,VOICE_CALL,voice,"Selected Voice Call due to high urgency (HIGH), transaction value (₹22,902.98), or explicit channel preference. Recoverability=0.61.",,30,voice_otp_abandon,LIVE_CALL_SCHEDULED,"{""status"": ""LIVE_CALL_SCHEDULED"", ""provider"": ""ElevenLabs_Groq_Engine"", ""agent_id"": ""agent_rzp_recovery_v1"", ""call_config"": {""voice_id"": ""r1KmysJdVYZjJCm4mL3b"", ""language"": ""hindi"", ""agent_opening_line"": ""Namaste Rahul Pillai ji, main Razorpay Payment Support se Riya bol rahi hoon. Aapka Rs. 22,902.98 ka bhugtan poora nahi ho saka."", ""payment_link"": ""https://rzp.io/l/rec_evt_8c"", ""objection_strategy"": ""Dynamic Groq LLM + ElevenLabs TTS voice resolution for otp_abandon.""}, ""estimated_cost_inr"": 3.5}",RECOVERED_SUCCESS,True,22902.98,3.5,22899.48,0.577
evt_b1be6,cust_18a6,Navya Sharma,Bangalore,subscription_lapse,card_expired,4429.87,INR,2026-08-28T03:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0,0.9,+91-XXXXX-79822,22:00-08:00 IST,0.62,HIGH,RECOVERABLE_PAYMENT_METHOD,True,NO_ACTION_STOP,none,"Execution halted by stopping rule: HIGH_FRAUD_RISK_THRESHOLD (risk_score >= 0.80). Recoverability=0.62, PriorAttempts=0, RiskScore=0.9.",HIGH_FRAUD_RISK_THRESHOLD (risk_score >= 0.80),0,none,SKIPPED_OR_STOPPED,"{""status"": ""SKIPPED_OR_STOPPED"", ""estimated_cost_inr"": 0.0}",UNRECOVERED_STOPPED,False,0.0,0.0,0.0,0.0
