event_id,customer_id,customer_name,city,failure_type,sub_reason,amount_inr,currency,failed_at,detected_at,contact_channel_pref,language_pref,prior_attempts,risk_score,phone_masked,do_not_disturb_hours,status
evt_bc1b7,cust_b08,Aarav Shah,Hyderabad,failed_payment,insufficient_funds,2523.3,INR,2026-08-30T07:00:00Z,2026-08-31T10:00:00Z,sms,english,0.0,0.2,+91-XXXXX-13478,22:00-08:00 IST,OPEN
evt_a817c,cust_10a1,Kiara Chopra,Hyderabad,subscription_lapse,card_expired,3069.14,INR,2026-08-31T08:00:00Z,2026-08-31T10:00:00Z,voice,hinglish,0.0,0.15,+91-XXXXX-59797,22:00-08:00 IST,OPEN
evt_312c6,cust_1ae1,Pooja Verma,Pune,failed_payment,insufficient_funds,11081.11,INR,2026-08-25T16:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,0.0,0.15,+91-XXXXX-35203,22:00-08:00 IST,OPEN
evt_ccc8d,cust_85b,Priya Malhotra,Pune,failed_payment,insufficient_funds,12902.11,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,1.0,0.11,+91-XXXXX-99593,22:00-08:00 IST,OPEN
evt_be4fa,cust_879,Diya Iyer,Jaipur,abandoned_checkout,genuine_abandonment,6406.6,INR,2026-08-26T11:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,1.0,0.61,+91-XXXXX-40021,22:00-08:00 IST,OPEN
evt_eacba,cust_5f5,Ishaan Vera,Pune,failed_payment,insufficient_funds,3559.25,INR,2026-08-28T01:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,2.0,0.27,+91-XXXXX-80644,22:00-08:00 IST,OPEN
evt_5bad0,cust_1f53,Sai Vera,Chennai,failed_payment,insufficient_funds,14961.22,INR,2026-08-29T22:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.09,+91-XXXXX-18326,22:00-08:00 IST,OPEN
evt_7aea1,cust_1c54,Diya Kumar,Jaipur,failed_payment,insufficient_funds,14580.64,INR,2026-08-31T07:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,2.0,0.31,+91-XXXXX-30730,22:00-08:00 IST,OPEN
evt_8c913,cust_41d,Rahul Pillai,Delhi,abandoned_checkout,otp_abandon,22902.98,INR,2026-08-28T05:00:00Z,2026-08-31T10:00:00Z,voice,hindi,0.0,0.45,+91-XXXXX-10074,22:00-08:00 IST,OPEN
evt_b1be6,cust_18a6,Navya Sharma,Bangalore,subscription_lapse,card_expired,4429.87,INR,2026-08-28T03:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.9,+91-XXXXX-79822,22:00-08:00 IST,OPEN
evt_dc77b,cust_bf4,Vikram Bansal,Jaipur,failed_payment,insufficient_funds,4343.32,INR,2026-08-26T21:00:00Z,2026-08-31T10:00:00Z,email,english,1.0,0.29,+91-XXXXX-58944,22:00-08:00 IST,OPEN
evt_88915,cust_2507,Suresh Desai,Hyderabad,failed_payment,insufficient_funds,1428.38,INR,2026-08-31T04:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.59,+91-XXXXX-53309,22:00-08:00 IST,OPEN
evt_2a8db,cust_24cf,Saanvi Shah,Chandigarh,abandoned_checkout,otp_abandon,6140.9,INR,2026-08-30T00:00:00Z,2026-08-31T10:00:00Z,voice,english,0.0,0.14,+91-XXXXX-96374,22:00-08:00 IST,OPEN
evt_86c35,cust_1a94,Riya Chopra,Ahmedabad,abandoned_checkout,genuine_abandonment,2975.08,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1.0,0.09,+91-XXXXX-34050,22:00-08:00 IST,OPEN
evt_5fb8b,cust_2183,Saanvi Gupta,Ahmedabad,abandoned_checkout,payment_page_drop,1918.77,INR,2026-08-25T15:00:00Z,2026-08-31T10:00:00Z,voice,english,2.0,0.35,+91-XXXXX-62565,22:00-08:00 IST,OPEN
evt_276cb,cust_e71,Arjun Sharma,Kolkata,failed_payment,insufficient_funds,13934.51,INR,2026-08-26T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,1.0,0.32,+91-XXXXX-38534,22:00-08:00 IST,OPEN
evt_2762c,cust_269b,Priya Agarwal,Mumbai,failed_payment,insufficient_funds,8970.58,INR,2026-08-26T01:00:00Z,2026-08-31T10:00:00Z,email,hindi,0.0,0.23,+91-XXXXX-40828,22:00-08:00 IST,OPEN
evt_7fc7d,cust_b94,Sai Malhotra,Indore,failed_payment,bank_decline,2152.51,INR,2026-08-30T13:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0.0,0.38,+91-XXXXX-61876,22:00-08:00 IST,OPEN
evt_39eb3,cust_171b,Suresh Agarwal,Bangalore,failed_payment,insufficient_funds,7145.14,INR,2026-08-30T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.38,+91-XXXXX-30676,22:00-08:00 IST,OPEN
evt_8896d,cust_26ac,Myra Verma,Chandigarh,abandoned_checkout,otp_abandon,1186.76,INR,2026-08-25T12:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,2.0,0.1,+91-XXXXX-45697,22:00-08:00 IST,OPEN
evt_608b2,cust_1162,Ishaan Mehta,Chandigarh,failed_payment,bank_decline,25734.47,INR,2026-08-26T00:00:00Z,2026-08-31T10:00:00Z,sms,english,1.0,0.08,+91-XXXXX-27146,22:00-08:00 IST,OPEN
evt_bb83d,cust_14ab,Kavita Kumar,Jaipur,overdue_invoice,forgotten,69876.17,INR,2026-08-31T07:00:00Z,2026-08-31T10:00:00Z,whatsapp,english,1.0,0.1,+91-XXXXX-66333,22:00-08:00 IST,OPEN
evt_390a4,cust_695,Myra Kapoor,Mumbai,subscription_lapse,card_expired,1286.57,INR,2026-08-28T18:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.69,+91-XXXXX-41029,22:00-08:00 IST,OPEN
evt_4203b,cust_f3c,Riya Sharma,Delhi,abandoned_checkout,genuine_abandonment,18640.77,INR,2026-08-27T00:00:00Z,2026-08-31T10:00:00Z,voice,english,1.0,0.64,+91-XXXXX-71694,22:00-08:00 IST,OPEN
evt_515b6,cust_10ad,Suresh Kapoor,Pune,failed_payment,insufficient_funds,3732.39,INR,2026-08-29T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.32,+91-XXXXX-80282,22:00-08:00 IST,OPEN
evt_6d303,cust_5ac,Ananya Shah,Delhi,abandoned_checkout,payment_page_drop,14456.71,INR,2026-08-28T14:00:00Z,2026-08-31T10:00:00Z,whatsapp,hindi,0.0,0.33,+91-XXXXX-85574,22:00-08:00 IST,OPEN
evt_49130,cust_1435,Priya Chopra,Mumbai,abandoned_checkout,otp_abandon,23213.73,INR,2026-08-25T16:00:00Z,2026-08-31T10:00:00Z,sms,english,1.0,0.53,+91-XXXXX-91678,22:00-08:00 IST,OPEN
evt_68c6c,cust_be1,Myra Pillai,Pune,overdue_invoice,cash_flow_delay,110972.33,INR,2026-08-27T02:00:00Z,2026-08-31T10:00:00Z,sms,hindi,0.0,0.28,+91-XXXXX-84593,22:00-08:00 IST,OPEN
evt_65750,cust_1de5,Kiara Sharma,Pune,subscription_lapse,card_expired,1287.07,INR,2026-08-27T23:00:00Z,2026-08-31T10:00:00Z,sms,hinglish,0.0,0.22,+91-XXXXX-21114,22:00-08:00 IST,OPEN
evt_61103,cust_24e5,Diya Agarwal,Bangalore,abandoned_checkout,genuine_abandonment,6227.63,INR,2026-08-28T02:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.14,+91-XXXXX-64321,22:00-08:00 IST,OPEN
evt_b9a24,cust_1059,Arjun Bansal,Kolkata,failed_payment,insufficient_funds,2639.78,INR,2026-08-31T08:00:00Z,2026-08-31T10:00:00Z,voice,english,2.0,0.32,+91-XXXXX-70889,22:00-08:00 IST,OPEN
evt_25451,cust_13da,Ananya Kumar,Delhi,subscription_lapse,card_expired,3437.28,INR,2026-08-25T10:00:00Z,2026-08-31T10:00:00Z,sms,english,2.0,0.62,+91-XXXXX-81810,22:00-08:00 IST,OPEN
evt_8a916,cust_e17,Navya Kumar,Pune,abandoned_checkout,genuine_abandonment,6450.32,INR,2026-08-28T11:00:00Z,2026-08-31T10:00:00Z,voice,hindi,1.0,0.15,+91-XXXXX-51904,22:00-08:00 IST,OPEN
evt_a2b16,cust_910,Vikram Patel,Hyderabad,subscription_lapse,card_expired,3561.26,INR,2026-08-29T03:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.46,+91-XXXXX-86556,22:00-08:00 IST,OPEN
evt_ca77c,cust_528,Sai Vera,Ahmedabad,failed_payment,insufficient_funds,14169.75,INR,2026-08-28T05:00:00Z,2026-08-31T10:00:00Z,voice,english,3.0,0.2,+91-XXXXX-38906,22:00-08:00 IST,OPEN
evt_95669,cust_11f3,Rahul Chopra,Ahmedabad,failed_payment,insufficient_funds,6138.43,INR,2026-08-27T02:00:00Z,2026-08-31T10:00:00Z,voice,english,2.0,0.39,+91-XXXXX-96900,22:00-08:00 IST,OPEN
evt_1f5a2,cust_947,Riya Patel,Ahmedabad,failed_payment,insufficient_funds,1229.13,INR,2026-08-27T08:00:00Z,2026-08-31T10:00:00Z,whatsapp,hinglish,0.0,0.36,+91-XXXXX-20735,22:00-08:00 IST,OPEN
